0,0,15.9
1,2,15.9
0,0,15.9
-1,1,15.9
0,2,15.9
1,2,15.9
0,0,15.9
0,3,15.9
2,1,15.9
0,1,15.9
-2,4,15.9
1,2,15.9
-1,1,15.9
0,1,15.9
-1,3,15.9
-1,5,15.9
0,0,15.9
-3,4,15.9
0,4,15.9
0,0,15.9
-4,5,15.9
0,3,15.9
-1,1,15.9
0,1,15.9
-1,2,15.9
-1,5,15.9
0,0,15.9
0,4,15.9
1,4,15.9
0,0,15.9
0,4,15.9
2,0,15.9
0,1,15.9
0,1,15.9
3,2,15.9
2,4,15.9
0,0,15.9
1,4,15.9
2,3,15.9
0,0,15.9
1,5,15.9
2,2,15.9
0,0,15.9
0,1,15.9
-1,0,15.9
0,2,15.9
-2,1,15.9
0,0,15.9
-1,-2,15.9
0,0,15.9
-2,2,15.9
0,-2,15.9
-1,1,15.9
-3,0,15.9
-1,-2,15.9
-1,1,15.9
0,0,15.9
2,1,15.9
1,1,15.9
0,0,15.9
3,2,15.9
3,-1,15.9
0,-1,15.9
0,1,15.9
3,0,15.9
2,0,15.9
1,0,15.9
2,3,15.9
2,1,15.9
0,0,15.9
1,3,15.9
2,-1,15.9
0,1,15.9
-1,1,15.9
-1,-1,15.9
-1,1,15.9
0,0,15.9
-3,1,15.9
-1,-1,15.9
0,1,15.9
-3,1,15.9
0,-2,15.9
-1,0,15.9
0,1,15.9
-1,-1,15.9
-1,-1,15.9
0,-1,15.9
2,3,15.9
